Test,NS,Depth,W,RWD,Density
1,20,2.5,29.3,3.5,1.485
2,20,7.5,34.63,2.5,1.235
3,20,12.5,34.42,2.5,1.31
4,20,17.5,34.99,2.5,1.485
5,20,7.5,38.14,6,1.49
6,20,12.5,30.3,2,1.48
7,20,17.5,30.07,3,1.485
8,20,2.5,28.88,3.2,1.515
9,20,7.5,37.77,1.05,1.515
10,20,12.5,40.3,1,1.515
11,20,17.5,41.95,0.7,1.515
12,40,2.5,36.71,2.15,1.495
13,40,7.5,35.19,1.95,1.495
14,40,12.5,40.13,5.3,1.505
15,40,17.5,39.48,3.35,1.525
16,40,2.5,46.8,9.05,1.53
17,40,7.5,34.88,5.85,1.52
18,40,12.5,30.57,1.55,1.505
19,40,17.5,26.47,0.5,1.505
20,40,2.5,22.11,4,1.515
21,40,7.5,32.02,3.45,1.515
22,40,12.5,29.01,1.25,1.515
23,40,17.5,28.5,0.6,1.515
24,80,2.5,39.79,5.25,1.51
25,80,7.5,44.3,4.45,1.5
26,80,12.5,37.6,5.1,1.505
27,80,17.5,31.56,1.75,1.5
28,80,2.5,30.89,2.25,1.5
29,80,7.5,35.54,2.85,1.505
30,80,12.5,36.9,2.85,1.515
31,80,17.5,36.6,1.35,1.525
32,80,2.5,29.83,3.1,1.5
33,80,7.5,33.47,7.5,1.51
34,80,12.5,33.225,3.2,1.515
35,80,17.5,38.487,0.8,1.515
36,20,2.5,29.3,0,1.485
37,20,7.5,34.63,0,1.235
38,20,12.5,34.42,0,1.31
39,20,17.5,34.99,0,1.485
40,20,7.5,38.14,0,1.49
41,20,12.5,30.3,0,1.48
42,20,17.5,30.07,0,1.485
43,20,2.5,28.88,0,1.515
44,20,7.5,37.77,0,1.515
45,20,12.5,40.3,0,1.515
46,20,17.5,41.95,0,1.515
47,40,2.5,36.71,0,1.495
48,40,7.5,35.19,0,1.495
49,40,12.5,40.13,0,1.505
50,40,17.5,39.48,0,1.525
51,40,2.5,46.8,0,1.53
52,40,7.5,34.88,0,1.52
53,40,12.5,30.57,0,1.505
54,40,17.5,26.47,0,1.505
55,40,2.5,22.11,0,1.515
56,40,7.5,32.02,0,1.515
57,40,12.5,29.01,0,1.515
58,40,17.5,28.5,0,1.515
59,80,2.5,39.79,0,1.51
60,80,7.5,44.3,0,1.5
61,80,12.5,37.6,0,1.505
62,80,17.5,31.56,0,1.5
63,80,2.5,30.887,0,1.5
64,80,7.5,35.54,0,1.505
65,80,12.5,36.9,0,1.515
66,80,17.5,36.6,0,1.525
67,80,2.5,29.83,0,1.5
68,80,7.5,33.47,0,1.51
69,80,12.5,33.225,0,1.515
70,80,17.5,38.49,0,1.515
